Size (bp),F1: 1,F2: 2,F3: 3,F4: 4,F5: 1,F6: 2,F7: 3,F8: 4,F9: SampF9,F10: SampF10,F11: SampF11,F12: ladder
2.00,2453.67,3995.69,3707.44,6056.60,4443.52,4194.28,5170.50,5061.97,20.17,14.31,0.00,4975.93
3.68,1699.87,2570.22,2603.97,4275.77,3132.98,2830.50,3521.08,3470.64,18.07,15.54,-0.53,3164.83
5.36,1054.24,1454.26,1633.29,2699.58,1919.44,1679.86,2057.07,2116.19,15.10,15.05,-3.59,1762.99
7.04,625.62,800.09,963.65,1597.54,1080.60,940.82,1124.74,1223.27,13.20,13.06,-5.70,970.09
8.73,396.89,511.11,591.21,970.34,636.35,572.58,684.12,754.15,12.82,11.04,-6.12,639.26
10.41,298.37,411.97,421.92,675.96,454.51,427.99,523.37,554.88,12.50,11.36,-6.63,535.67
12.09,264.02,376.60,359.14,558.94,394.00,377.79,470.61,484.03,11.51,13.73,-6.63,505.28
13.77,251.06,353.73,339.73,513.56,370.24,355.00,446.01,458.76,11.92,15.21,-3.71,488.15
15.45,240.35,332.91,331.67,488.43,352.67,339.50,426.42,442.28,15.25,15.34,0.00,470.67
17.13,230.00,315.20,323.07,466.78,338.43,327.54,409.27,423.47,17.82,15.02,-1.12,450.04
18.81,223.44,302.35,312.03,446.12,328.54,316.50,397.33,403.53,14.50,12.36,-7.59,425.41
20.49,218.78,293.00,298.76,427.08,320.84,305.24,392.26,385.71,6.26,6.42,-12.69,398.56
22.18,209.94,282.50,282.47,409.38,311.46,294.03,388.98,369.02,0.00,1.19,-12.15,370.57
23.86,195.36,265.37,263.65,390.30,296.60,279.91,377.09,348.21,0.59,0.00,-8.61,339.40
25.54,179.11,238.14,244.61,365.42,274.81,257.29,350.69,319.88,5.71,0.08,-6.84,303.45
27.22,163.81,202.17,226.37,332.60,245.91,225.79,313.73,287.20,10.59,0.41,-8.07,265.34
28.90,148.58,163.02,207.60,294.33,211.48,191.39,274.54,255.04,13.32,1.66,-9.29,228.49
30.58,133.72,126.79,186.48,255.72,178.03,159.25,239.20,224.40,14.05,2.67,-7.38,194.11
32.26,120.51,98.86,163.67,221.94,152.05,132.18,208.93,195.14,14.48,1.54,-3.32,164.49
33.95,107.23,82.45,143.10,194.75,132.67,112.58,181.30,168.91,17.03,0.00,-1.30,143.00
35.63,92.78,74.67,127.52,170.92,115.41,99.61,155.70,147.30,20.65,0.08,-2.96,129.73
37.31,80.64,69.45,115.23,147.79,100.74,88.43,135.27,130.74,22.37,0.77,-6.06,121.26
38.99,71.96,64.83,103.84,127.46,93.15,75.54,121.47,118.25,22.19,0.00,-8.13,113.35
40.67,63.49,60.96,93.49,112.05,92.55,62.38,111.51,107.97,21.10,0.00,-7.17,103.67
42.35,0.00,54.72,89.14,99.66,93.37,52.40,102.86,98.87,18.64,0.00,-3.15,93.20
44.03,2.39,44.40,84.78,87.03,91.40,46.69,96.14,90.45,16.04,0.00,0.00,84.47
45.72,11.87,34.36,77.82,73.60,85.61,43.92,92.16,82.45,15.43,0.00,0.00,78.83
47.40,19.33,29.63,72.56,62.38,76.65,41.80,89.16,75.86,15.85,0.00,0.00,75.31
49.08,20.36,29.67,67.93,55.66,67.14,37.45,85.14,70.84,15.61,0.00,0.00,72.18
50.76,17.33,28.80,62.86,51.30,60.05,30.64,80.20,64.87,16.19,0.00,0.00,68.84
52.44,13.14,23.15,58.01,46.56,56.45,25.76,77.60,56.61,18.44,0.00,0.00,64.98
54.12,9.64,15.94,55.39,42.39,56.42,24.99,74.99,48.94,19.01,0.00,0.00,60.19
55.80,7.97,2.29,56.48,40.88,59.77,22.93,69.20,41.49,16.07,0.00,0.00,57.01
