F1,1,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),0.0012,,0.8611,0,44,521.82,3283,20.807
2,83,0.0011,2.8,0.0177,44,160,24.67,85,1.898
3,207,0.0021,5.7,0.0164,160,352,15.57,295,3.784
4,15957,0.0031,8.2,0.0004,11018,16247,10.65,166,5.508
5,20686,0.0040,10.5,0.0003,17119,21385,6.50,257,7.039
6,22769,0.0020,5.2,0.0001,21655,23129,1.87,275,3.508
7,28438,0.0053,14.0,0.0003,23129,28694,6.19,350,9.384
8,32788,0.0026,6.9,0.0001,31445,33940,2.20,373,4.623
9,36115,0.0028,7.5,0.0001,34580,37138,2.11,382,4.980
10,42905,0.0007,1.9,0.0000,42697,43323,0.46,397,1.246
11,46661,0.0048,12.6,0.0002,43323,47635,2.76,480,8.444
12,82896,0.0046,12.1,0.0001,54387,94592,15.63,535,8.074
13,150880,0.0019,4.9,0.0000,148687,171316,4.22,380,3.270
14,>200000,0.0019,5.1,0.0000,>200000,>200000,5.50,226,3.400
15,>200000,0.0006,1.6,0.0000,>200000,>200000,2.83,135,1.049
16,>200000,0.0003,0.7,0.0000,>200000,>200000,4.70,77,0.483
17,>200000,0.0000,0.0,0.0000,>200000,>200000,2.11,18,0.029
18,>200000,0.0000,0.1,0.0000,>200000,>200000,0.34,31,0.063
19,>200000,0.0000,0.0,0.0000,>200000,>200000,1.26,12,0.009
20,>200000,0.0000,0.1,0.0000,>200000,>200000,0.18,25,0.034
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.0380,ng/uL,,,,,,
 ,TIM: ,0.0359,nmole/L,,,,,,
 ,Total Conc.: ,0.0642,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,3.1,,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F2,2,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),0.0012,,7.4862,0,57,3574.81,5876,35.096
2,91,0.0010,0.4,0.0178,57,133,17.29,188,3.098
3,147,0.0004,0.1,0.0042,133,163,5.15,131,1.117
4,205,0.0012,0.4,0.0099,163,259,9.46,211,3.663
5,337,0.0009,0.3,0.0048,259,392,9.32,164,2.793
6,461,0.0002,0.1,0.0008,434,528,4.25,53,0.690
7,569,0.0003,0.1,0.0009,528,621,3.24,93,0.935
8,865,0.0029,1.0,0.0058,743,888,4.92,224,8.628
9,989,0.0038,1.3,0.0066,888,996,3.29,388,11.288
10,2766,0.2732,95.6,0.1189,996,9953,53.84,7863,811.266
11,11357,0.0012,0.4,0.0002,11308,16925,10.66,188,3.592
12,19639,0.0001,0.0,0.0000,18015,21731,3.33,47,0.401
13,22654,0.0000,0.0,0.0000,22000,25048,3.79,39,0.076
14,33556,0.0001,0.0,0.0000,32532,34580,1.55,57,0.154
15,37522,0.0001,0.0,0.0000,36946,39761,1.92,51,0.395
16,40657,0.0000,0.0,0.0000,40273,42001,1.51,51,0.132
17,59504,0.0001,0.0,0.0000,48122,79972,15.75,53,0.418
18,147225,0.0001,0.0,0.0000,131874,172044,4.60,70,0.279
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.2859,ng/uL,,,,,,
 ,TIM: ,0.1700,nmole/L,,,,,,
 ,Total Conc.: ,0.2891,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,0.0,,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F3,3,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),0.0012,,0.8611,0,68,545.67,4974,32.875
2,343,0.0005,0.4,0.0025,254,421,11.72,66,1.412
3,496,0.0003,0.2,0.0011,421,540,6.26,59,0.875
4,658,0.0005,0.4,0.0012,612,681,2.47,100,1.323
5,725,0.0006,0.4,0.0014,681,743,2.33,171,1.685
6,821,0.0025,1.9,0.0051,743,878,4.62,228,7.031
7,937,0.0023,1.7,0.0041,896,994,3.02,288,6.490
8,1085,0.0028,2.1,0.0044,1012,1113,2.74,351,7.915
9,1165,0.0022,1.6,0.0032,1113,1176,1.58,403,6.171
10,2627,0.0326,24.2,0.0245,1176,3418,32.62,1927,90.805
11,3580,0.0137,10.2,0.0058,3418,4488,7.95,1898,38.166
12,5395,0.0313,23.3,0.0085,4488,8046,16.59,1636,87.153
13,8721,0.0060,4.5,0.0010,8721,11066,6.70,602,16.743
14,17963,0.0057,4.3,0.0006,14165,18748,8.01,465,15.972
15,20843,0.0055,4.1,0.0004,19115,22500,4.54,629,15.221
16,24664,0.0033,2.4,0.0002,22500,24984,3.15,581,9.086
17,28950,0.0091,6.8,0.0005,24984,32149,7.07,797,25.313
18,34324,0.0028,2.1,0.0001,32980,35219,1.93,683,7.730
19,38929,0.0052,3.9,0.0002,36882,41936,3.71,636,14.463
20,44088,0.0019,1.4,0.0001,42836,45061,1.50,520,5.219
21,60235,0.0021,1.5,0.0001,48400,66083,10.22,421,5.801
22,146494,0.0024,1.8,0.0000,131143,>200000,12.40,350,6.642
23,>200000,0.0006,0.4,0.0000,>200000,>200000,3.67,154,1.572
24,>200000,0.0002,0.2,0.0000,>200000,>200000,3.56,75,0.666
25,>200000,0.0001,0.1,0.0000,>200000,>200000,1.95,72,0.348
26,>200000,0.0002,0.1,0.0000,>200000,>200000,1.83,59,0.459
27,>200000,0.0001,0.1,0.0000,>200000,>200000,2.78,43,0.364
28,>200000,0.0000,0.0,0.0000,>200000,>200000,1.11,46,0.134
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.1347,ng/uL,,,,,,
 ,TIM: ,0.0650,nmole/L,,,,,,
 ,Total Conc.: ,0.1539,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,0.7,,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F4,4,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),0.0012,,0.8611,0,69,478.74,8037,49.881
2,91,0.0004,0.2,0.0068,69,143,17.18,101,1.729
3,210,0.0013,0.8,0.0105,143,264,10.36,371,5.504
4,308,0.0003,0.2,0.0016,264,347,5.95,94,1.282
5,369,0.0001,0.1,0.0004,347,390,1.98,77,0.380
6,501,0.0002,0.1,0.0008,390,523,7.77,44,0.974
7,572,0.0003,0.2,0.0010,523,590,2.80,154,1.394
8,885,0.0123,7.4,0.0252,590,933,11.00,756,51.740
9,1113,0.0120,7.3,0.0191,933,1127,5.43,959,50.560
10,1265,0.0088,5.4,0.0118,1177,1273,2.24,1602,37.302
11,1976,0.0131,7.9,0.0131,1273,2092,16.77,3110,55.213
12,3115,0.0919,55.7,0.0308,2092,9000,36.69,4039,387.710
13,9279,0.0049,3.0,0.0008,9186,10873,4.83,1116,20.646
14,12277,0.0025,1.5,0.0003,12180,13972,4.05,707,10.400
15,14553,0.0025,1.5,0.0003,14311,16441,4.09,667,10.609
16,17458,0.0036,2.2,0.0003,16828,20372,5.65,681,15.264
17,24152,0.0022,1.4,0.0002,22769,25816,3.82,548,9.464
18,26583,0.0017,1.0,0.0001,26327,29270,3.10,496,7.228
